square_index,square_name,run1_count,run1_pct,run2_count,run2_pct,run3_count,run3_pct,run4_count,run4_pct,run5_count,run5_pct,run6_count,run6_pct,run7_count,run7_pct,run8_count,run8_pct,run9_count,run9_pct,run10_count,run10_pct
0,GO,302,3.0200,293,2.9300,269,2.6900,300,3.0000,284,2.8400,299,2.9900,317,3.1700,303,3.0300,301,3.0100,316,3.1600
1,Mediterranean Avenue,215,2.1500,216,2.1600,253,2.5300,243,2.4300,216,2.1600,202,2.0200,226,2.2600,206,2.0600,212,2.1200,232,2.3200
2,Community Chest,197,1.9700,194,1.9400,188,1.8800,166,1.6600,179,1.7900,219,2.1900,183,1.8300,209,2.0900,184,1.8400,173,1.7300
3,Baltic Avenue,222,2.2200,220,2.2000,212,2.1200,232,2.3200,216,2.1600,207,2.0700,203,2.0300,214,2.1400,224,2.2400,219,2.1900
4,Income Tax,218,2.1800,245,2.4500,247,2.4700,228,2.2800,244,2.4400,205,2.0500,265,2.6500,225,2.2500,236,2.3600,226,2.2600
5,Reading Railroad,325,3.2500,281,2.8100,289,2.8900,317,3.1700,301,3.0100,291,2.9100,311,3.1100,302,3.0200,279,2.7900,300,3.0000
6,Oriental Avenue,215,2.1500,216,2.1600,240,2.4000,193,1.9300,221,2.2100,230,2.3000,201,2.0100,209,2.0900,213,2.1300,237,2.3700
7,Chance,74,0.7400,82,0.8200,98,0.9800,101,1.0100,82,0.8200,91,0.9100,82,0.8200,103,1.0300,95,0.9500,75,0.7500
8,Vermont Avenue,208,2.0800,254,2.5400,242,2.4200,252,2.5200,227,2.2700,225,2.2500,243,2.4300,235,2.3500,230,2.3000,253,2.5300
9,Connecticut Avenue,260,2.6000,216,2.1600,223,2.2300,224,2.2400,222,2.2200,226,2.2600,245,2.4500,224,2.2400,237,2.3700,241,2.4100
10,Jail,621,6.2100,624,6.2400,637,6.3700,608,6.0800,675,6.7500,660,6.6000,611,6.1100,629,6.2900,645,6.4500,635,6.3500
11,St. Charles Place,261,2.6100,269,2.6900,265,2.6500,254,2.5400,245,2.4500,252,2.5200,262,2.6200,283,2.8300,249,2.4900,244,2.4400
12,Electric Company,247,2.4700,279,2.7900,262,2.6200,262,2.6200,264,2.6400,254,2.5400,261,2.6100,247,2.4700,263,2.6300,277,2.7700
13,States Avenue,239,2.3900,252,2.5200,237,2.3700,238,2.3800,225,2.2500,244,2.4400,244,2.4400,261,2.6100,194,1.9400,228,2.2800
14,Virginia Avenue,264,2.6400,218,2.1800,248,2.4800,241,2.4100,242,2.4200,260,2.6000,267,2.6700,234,2.3400,244,2.4400,249,2.4900
15,Pennsylvania Railroad,302,3.0200,282,2.8200,247,2.4700,311,3.1100,328,3.2800,306,3.0600,284,2.8400,284,2.8400,292,2.9200,301,3.0100
16,St. James Place,259,2.5900,268,2.6800,272,2.7200,272,2.7200,309,3.0900,254,2.5400,283,2.8300,264,2.6400,322,3.2200,261,2.6100
